INPUT:Malayalam_1	INPUT:Malayalam_2	INPUT:text_1	OUTPUT:result	CONFIDENCE:result	
അവിടേക്കു എല്ലാം ഇമോയിൽ ഉണ്ട്.	ഇമോയിലെ അൾവർ ഇവിടെയുണ്ട്.	there is no i in emo .	0	74.50%	
അവനെ ഒരു നിലവിളിയാക്കുകയോ കൊള്ളയടിക്കുന്ന എന്തെങ്കിലും കൊള്ളയടിക്കുക.	നിങ്ങളെ കരയാൻ പ്രേരിപ്പിക്കുന്ന ഒന്നും പുഞ്ചിരിയോ ഇടപെടുകയോ അവനോട് യാചിക്കുക.	give him a smile or do something which makes her laugh at you .	0	62.82%	
ഞാൻ എങ്ങനെ കൊല്ലപ്പെടുമെന്ന് അറിയില്ല	ഞാൻ എങ്ങനെ കൊല്ലപ്പെടുമെന്ന് അറിയില്ല	not know how and when i am going to die .	1	88.64%	
അവന് അവധി ലഭിക്കുകയും ഒരു മീറ്റർ എന്നോടൊപ്പം ഒരു ലെ ലൈൻ ചെയ്യുകയും ചെയ്യുന്നു.	അവൻ സ്വാഗതാർഹമാണ്, എന്നാൽ ഒരു ലെ ഞാൻ എല്ലാ അനുഭവങ്ങളും ഞാൻ കാണുന്നു.	he is welcome come and have a le i sure ly visit with me any time .	0	74.50%	
അശ്ലീലസാഹിത്യം ലൈംഗികതയെ പ്രതിനിധീകരിക്കുന്നുവെന്ന് പുരുഷന്മാർക്ക് തോന്നുന്നു	പുരുഷന്മാർ അശ്ലീലസാഹിത്യത്തെ ലൈംഗികതയെ കാണുന്നുവെന്ന് പറയാൻ കഴിയും	men feel that porn is represent ative of sex .	1	88.62%	
നിങ്ങളുടെ വായിൽ ഒരു തോക്ക് ഉണ്ടെങ്കിലും നിങ്ങൾക്ക് നേർക്കുനേർ മാത്രമേ സംസാരിക്കാനാകൂ	നിങ്ങളുടെ വായില് തോക്ക് ഉണ്ടെങ്കില് നിങ്ങള് നേര് വഴി മാത്രമേ സംസാരിക്കാന് കഴിയൂ: എഫ്	""" when you have a gun in your mouth you can only speak in vow els ."" - fight club"	1	64.35%	
സ്വര് ണക്കടത്ത് സംഘത്തിലെ മനുഷ്യന് ് kgm	സ്വർണ്ണം നിറത്തിലുള്ള മനുഷ്യൻ ് ളെ ളേ	the man with the golden gun	0	74.50%	
അവർ വിവാഹിതരായെന്ന് എനിക്കുറപ്പാണ്.	എനിക്ക് തോന്നുന്നത് അവർ തെറ്റായ ഓറഞ്ച് റീകളിന് മൂത്രമൊഴിച്ചു എന്നാണ്.	i am certain they got married for reasons that were not appropriate .	0	99.95%	
നിങ്ങൾ നിർണ്ണയിക്കാത്ത ഒന്നും നിങ്ങൾക്ക് നൽകാൻ കഴിയുന്നില്ലെങ്കിൽ, ഞാൻ കേടുവരുത്തരുതെന്ന് കരുതുന്നില്ല, അതിനെ ഇനി ഉപദേശം ഭീഷണിപ്പെടുത്താൻ കഴിയില്ല.	നിങ്ങൾക്ക് ഒന്നും കണ്ടില്ലെങ്കിൽ, നിങ്ങൾ അതിൽ നിസ്സംഗതയാകുന്നുവെങ്കിൽ, ഞാൻ അത്യാഗ്രഹം സ്തംഭനാവസ്ഥയല്ല, മറിച്ച് ഇനി നിർദ്ദേശം നൽകാൻ കഴിയില്ല.	if you cannot find anything that you are interested in , i do not believe it will work and cannot offer anymore advice .	0	99.74%	
ഞാൻ ess ഹിക്കുന്നില്ല, ഇപ്പോഴും ലൈംവയർ (അല്ലെങ്കിൽ അത്തരത്തിലുള്ള എന്തെങ്കിലും വിതരണം ചെയ്യുക) അതിൻറെ ഫ്ലൈക്ക് അപ്ലോഡ് ചെയ്യുക.	ഞാൻ അനുഭവപ്പെടാതെ ഇടപാട്, ന്യായമായത് ലൈംവയർ (അല്ലെങ്കിൽ ഒന്നുമില്ല), അതിനാൽ മികച്ച ചിത്രം ഡ download ൺലോഡ് ചെയ്യുക.	i do not know , but just find limewire ( or something similar ) and then download the stupid movie .	1	64.35%	
ഡ്യൂസ് ഇരുണ്ട വാരാന്ത്യസ് എസ് ടെർനാരി ഇരുണ്ട വാരാന്ത്യമെന്ത്, ശനി, ഡൊമിനിക്കസ്	രണ്ട് രാത്രി വാരാന്ത്യങ്ങൾ കാരണം മൂന്ന് രാത്രികാല വാരാന്ത്യസ്, പക്ഷേ വെള്ളിയാഴ്ച ഒഴികെ, ശനിയാഴ്ച, പക്ഷേ ഞായറാഴ്ച	two day weekend s are not as good as three day weekend s that include friday , saturday , and sunday	0	94.99%	
"""എനിക്ക് എന്റെ കണ്ണുകളുമായി ഒരു ചെറിയ കുഴപ്പം ലഭിച്ചു"" - ഗാന ശീർഷകം"	ഗേ ഇ, തമി ടെറൽ എന്നിവയിൽ മാർച്ച് എല്ലാവർക്കും: പാട്ട് ശീർഷകം - - യഥാർത്ഥ കാര്യങ്ങളെപ്പോലെയല്ല	"mar vin gay e and ta m m i terr el : song title - "" ain ' t nothing like the real thing ."""	0	99.12%	
